12/09/2016 17:15:39: Starting 
12/09/2016 18:13:40: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:14:10: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:14:41: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:15:12: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:15:42: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:16:13: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:16:43: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:17:14: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:17:44: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:18:15: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:18:45: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:19:16: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:19:47: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:20:17: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:20:48: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:21:18: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:21:49: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:22:19: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:22:50: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:23:20: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:23:51: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:24:22: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:24:52: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:25:23: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:25:53: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:26:24: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:26:54: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:27:25: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:27:55: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:28:26: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:28:57: Temp: 25.0 C  Humidity: 94.0 % 
12/09/2016 18:29:27: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:29:58: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:30:28: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:30:59: Temp: 24.0 C  Humidity: 95.0 % 
12/09/2016 18:31:29: Temp: 25.0 C  Humidity: 94.0 % 
